92,54
30,59
67,51
0,92
65,90
5,36
84,11
31,14
6,99
30,50
19,22
6,17
61,94
19,13
92,67
21,65
89,44
12,53
65,16
23,66
15,28
25,72
87,68
61,24
77,81
2,88
48,6
34,89
77,45
62,93
25,47
45,5
32,24
52,98
36,89
47,62
21,25
95,84
86,65
95,46
39,15
39,53
20,88
95,86
45,69
12,76
74,6
56,9
10,20
66,47
19,49
37,85
73,8
29,27
19,80
99,82
82,31
58,99
76,45
56,11
53,94
85,16
78,22
20,78
15,62
69,53
56,73
59,38
61,6
45,52
29,92
39,36
97,56
74,78
55,55
80,66
94,48
97,66
79,74
3,17
38,77
77,69
88,40
78,23
77,47
56,13
56,78
81,11
74,18
3,44
98,98
36,56
58,58
62,77
17,39
70,29
68,94
5,49
54,27
61,43
